web-scraper-order,web-scraper-start-url,Main,Item
"1550447587-21","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-47","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Úc"
"1550447587-22","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null","6"
"1550447587-86","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Ủ - Lên men"
"1550447587-23","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null","6"
"1550447587-24","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-113","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Làm Bánh"
"1550447587-120","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ram"
"1550447587-69","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Chè"
"1550447587-65","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Sinh tố - Nước ép"
"1550447587-25","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món khai vị"
"1550447587-133","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Chữa bệnh"
"1550447587-77","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Đồ uống"
"1550447587-50","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Nga"
"1550447587-114","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Nước  Chấm"
"1550447587-105","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Nấu"
"1550447587-49","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Indonesia"
"1550447587-73","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Cupcake - Muffin"
"1550447587-81","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Món chiên"
"1550447587-40","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Âu"
"1550447587-16","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-33","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món ăn cho trẻ"
"1550447587-37","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Ý"
"1550447587-129","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Cho phái mạnh"
"1550447587-57","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Lẩu"
"1550447587-111","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Quay"
"1550447587-143","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tăng cân"
"1550447587-131","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tiệc"
"1550447587-71","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Đồ sống"
"1550447587-142","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Cho phái nữ"
"1550447587-53","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Nam Phi"
"1550447587-35","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Việt Nam"
"1550447587-139","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn tối"
"1550447587-134","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn gia đình"
"1550447587-83","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Chưng - hấp"
"1550447587-43","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Singapore"
"1550447587-56","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Canh"
"1550447587-46","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Mỹ"
"1550447587-132","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn chay"
"1550447587-125","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn sáng"
"1550447587-119","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ướp"
"1550447587-93","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Luộc"
"1550447587-74","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Pasta - Spaghetti"
"1550447587-41","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Trung Quốc"
"1550447587-101","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Kho"
"1550447587-42","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Ấn Độ"
"1550447587-92","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Lẩu"
"1550447587-136","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Phụ nữ mang thai"
"1550447587-68","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Kem"
"1550447587-18","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-66","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nước ép"
"1550447587-128","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Giảm cân"
"1550447587-36","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Thái Lan"
"1550447587-87","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Món luộc"
"1550447587-59","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Soup - Cháo"
"1550447587-138","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tốt cho sức khỏe"
"1550447587-28","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món chính"
"1550447587-116","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Chưng"
"1550447587-84","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Muối chua - Ngâm chua"
"1550447587-89","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Sữa chua"
"1550447587-85","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Kho - Rim"
"1550447587-80","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Rang - Xào"
"1550447587-107","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Muối"
"1550447587-98","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Trộn"
"1550447587-117","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ăn Sống"
"1550447587-31","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Thức uống"
"1550447587-126","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn trưa"
"1550447587-70","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Mứt - Kẹo"
"1550447587-104","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Sốt"
"1550447587-48","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Mexico"
"1550447587-38","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Hàn Quốc"
"1550447587-94","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Hầm"
"1550447587-26","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món tráng miệng"
"1550447587-15","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-78","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nướng - Quay"
"1550447587-112","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Rang"
"1550447587-137","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Trẻ dưới 1 tuổi"
"1550447587-108","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Vắt"
"1550447587-19","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-39","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Nhật"
"1550447587-95","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Hấp"
"1550447587-110","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Cuốn"
"1550447587-127","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn kiêng"
"1550447587-34","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món nhậu"
"1550447587-91","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Chiên"
"1550447587-54","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Salad"
"1550447587-32","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Bánh - Bánh ngọt"
"1550447587-145","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-45","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Brazil"
"1550447587-88","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Thạch - Rau câu"
"1550447587-72","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Snacks"
"1550447587-123","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa Thu"
"1550447587-124","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa Đông"
"1550447587-106","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Pha chế"
"1550447587-135","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Phụ nữ sau khi sinh"
"1550447587-121","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa xuân"
"1550447587-109","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ủ"
"1550447587-99","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Xay"
"1550447587-20","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-75","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Miến - Hủ tiếu"
"1550447587-61","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Chay"
"1550447587-141","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tốt cho tim mạch"
"1550447587-90","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Nướng"
"1550447587-17","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-52","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Philippines"
"1550447587-27","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món chay"
"1550447587-79","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nghêu - Sò - Ốc"
"1550447587-30","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Nhanh và dễ"
"1550447587-103","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Om"
"1550447587-60","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nem - Chả"
"1550447587-51","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Malaysia"
"1550447587-67","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Cocktail - Mocktail"
"1550447587-96","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Tiềm"
"1550447587-29","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Công thức","Món ăn sáng"
"1550447587-97","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Xào"
"1550447587-76","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bún - Mì - Phở"
"1550447587-62","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Xôi"
"1550447587-118","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ăn"
"1550447587-140","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Tốt cho trẻ em"
"1550447587-100","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ép"
"1550447587-64","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bánh ngọt"
"1550447587-102","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Ngâm"
"1550447587-82","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Món cuốn"
"1550447587-122","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mùa & dịp lễ","Mùa hè"
"1550447587-115","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Cách thức thực hiện","Uống"
"1550447587-63","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Bánh mặn"
"1550447587-130","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Mục đích (tốt cho)","Ăn vặt"
"1550447587-14","https://www.cooky.vn/cong-thuc/tao-cong-thuc","null",""
"1550447587-44","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Ẩm thực","Pháp"
"1550447587-55","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nước chấm - Sốt"
"1550447587-144","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Chọn tham gia cuộc thi",""
"1550447587-58","https://www.cooky.vn/cong-thuc/tao-cong-thuc","Loại món","Nộm - Gỏi"
